WorkerID,Correct,Agreed,Total
A2U7HWYD5KOBKW,75,85,100
A1TTA3N401CZTS,24,25,30
A3CFNUD7VR2E1E,83,85,100
A2YO837C0O1E91,15,15,20
A2HM35CWB7IIFM,8,9,10
A3G9MSZVWB7W42,53,62,80
A10DGGOQ9N186P,7,9,10
A29VL3MZE7YPBZ,16,19,20
A3VRD5WTKI0QCQ,6,7,10
A3862RIFFUV141,62,67,80
A1G3TBNF8L2W7A,9,8,10
A1ZFUBB7KVAT4G,9,8,10
AUZBKS5UI3MXB,5,8,10
A7TUG10LNB586,29,29,40
A2HR7ZIX42FEPG,72,78,100
AL3UGBNTPA0I7,21,25,30
AURYD2FH3FUOQ,66,75,90
ADJ9I7ZBFYFH7,41,40,50
A351P2O6QGTCS,52,58,90
A1SRI5PDX6WB9B,37,42,50
A5V3ZMQI0PU3F,31,31,40
